date,category,value
01/2010,lf_employed,11931.2
02/2010,lf_employed,11632.3
03/2010,lf_employed,11895.9
04/2010,lf_employed,12133.5
05/2010,lf_employed,11798.9
06/2010,lf_employed,11882.2
07/2010,lf_employed,12099.5
08/2010,lf_employed,11936.5
09/2010,lf_employed,11912.1
10/2010,lf_employed,12342.6
11/2010,lf_employed,11874.1
12/2010,lf_employed,12418.3
01/2011,lf_employed,12376.0
02/2011,lf_employed,12245.3
03/2011,lf_employed,12491.8
04/2011,lf_employed,12537.1
05/2011,lf_employed,12330.3
06/2011,lf_employed,12372.6
07/2011,lf_employed,12581.5
08/2011,lf_employed,12486.7
09/2011,lf_employed,12456.9
10/2011,lf_employed,12550.1
11/2011,lf_employed,12323.7
12/2011,lf_employed,12687.2
01/2012,lf_employed,12781.3
02/2012,lf_employed,12645.6
03/2012,lf_employed,12893.8
04/2012,lf_employed,12936.9
05/2012,lf_employed,12861.2
06/2012,lf_employed,12811.4
07/2012,lf_employed,13093.3
08/2012,lf_employed,12963.4
09/2012,lf_employed,12984.5
10/2012,lf_employed,12908.9
11/2012,lf_employed,13044.6
12/2012,lf_employed,13114.3
01/2013,lf_employed,13109.8
02/2013,lf_employed,13195.9
03/2013,lf_employed,13241.7
04/2013,lf_employed,13422.9
05/2013,lf_employed,13368.9
06/2013,lf_employed,13816.9
07/2013,lf_employed,13763.0
08/2013,lf_employed,13734.2
09/2013,lf_employed,13859.5
10/2013,lf_employed,13699.1
11/2013,lf_employed,13730.4
12/2013,lf_employed,13836.2
01/2014,lf_employed,13775.9
02/2014,lf_employed,13788.0
03/2014,lf_employed,13768.3
04/2014,lf_employed,13793.2
05/2014,lf_employed,14023.0
06/2014,lf_employed,13967.0
07/2014,lf_employed,13935.8
08/2014,lf_employed,13881.4
09/2014,lf_employed,14058.4
10/2014,lf_employed,14023.3
11/2014,lf_employed,14025.4
12/2014,lf_employed,14060.2
01/2015,lf_employed,13991.8
02/2015,lf_employed,14092.9
03/2015,lf_employed,14160.5
04/2015,lf_employed,14136.2
05/2015,lf_employed,14126.7
06/2015,lf_employed,14146.7
07/2015,lf_employed,14106.2
08/2015,lf_employed,14214.6
09/2015,lf_employed,14151.7
10/2015,lf_employed,14184.7
11/2015,lf_employed,14215.7
12/2015,lf_employed,14185.7
01/2016,lf_employed,14150.5
02/2016,lf_employed,14196.9
03/2016,lf_employed,14200.7
04/2016,lf_employed,14163.7
05/2016,lf_employed,14200.2
06/2016,lf_employed,14218.4
07/2016,lf_employed,14212.8
08/2016,lf_employed,14306.9
09/2016,lf_employed,14249.6
10/2016,lf_employed,14253.4
11/2016,lf_employed,14317.2
12/2016,lf_employed,14276.7
01/2017,lf_employed,14366.8
02/2017,lf_employed,14401.8
03/2017,lf_employed,14421.7
04/2017,lf_employed,14429.6
05/2017,lf_employed,14454.4
06/2017,lf_employed,14519.9
07/2017,lf_employed,14497.4
08/2017,lf_employed,14513.4
09/2017,lf_employed,14544.3
10/2017,lf_employed,14581.7
11/2017,lf_employed,14578.9
12/2017,lf_employed,14640.1
01/2018,lf_employed,14670.5
02/2018,lf_employed,14721.5
03/2018,lf_employed,14732.5
04/2018,lf_employed,14803.1
05/2018,lf_employed,14852.6
06/2018,lf_employed,14863.2
07/2018,lf_employed,14882.4
08/2018,lf_employed,14896.5
09/2018,lf_employed,14926.5
10/2018,lf_employed,14937.1
11/2018,lf_employed,14941.3
12/2018,lf_employed,14986.0
01/2019,lf_employed,14992.8
02/2019,lf_employed,15026.8
03/2019,lf_employed,15035.2
04/2019,lf_employed,15089.8
05/2019,lf_employed,15122.5
06/2019,lf_employed,15134.6
07/2019,lf_employed,15179.8
08/2019,lf_employed,15185.8
09/2019,lf_employed,15229.9
10/2019,lf_employed,15265.6
11/2019,lf_employed,15315.0
12/2019,lf_employed,15286.0
01/2020,lf_employed,15317.6
02/2020,lf_employed,15344.5
03/2020,lf_employed,15232.4
04/2020,lf_employed,14933.4
05/2020,lf_employed,14887.9
06/2020,lf_employed,14990.2
07/2020,lf_employed,15073.4
08/2020,lf_employed,15153.5
09/2020,lf_employed,15193.1
10/2020,lf_employed,15207.1
11/2020,lf_employed,15196.1
12/2020,lf_employed,15215.4
01/2021,lf_employed,15237.3
02/2021,lf_employed,15270.6
03/2021,lf_employed,15329.3
04/2021,lf_employed,15352.0
05/2021,lf_employed,15370.8
06/2021,lf_employed,15297.5
07/2021,lf_employed,15294.8
08/2021,lf_employed,15376.6
09/2021,lf_employed,15463.5
10/2021,lf_employed,15554.6
11/2021,lf_employed,15610.3
12/2021,lf_employed,15648.6
01/2022,lf_employed,15686.1
02/2022,lf_employed,15730.9
03/2022,lf_employed,15769.4
04/2022,lf_employed,15853.5
05/2022,lf_employed,15900.0
06/2022,lf_employed,15936.3
07/2022,lf_employed,15978.4
08/2022,lf_employed,16017.7
09/2022,lf_employed,16052.2
10/2022,lf_employed,16081.5
11/2022,lf_employed,16108.6
12/2022,lf_employed,16130.4
01/2023,lf_employed,16159.3
02/2023,lf_employed,16189.3
03/2023,lf_employed,16223.0
04/2023,lf_employed,16251.4
05/2023,lf_employed,16279.5
06/2023,lf_employed,16307.8
07/2023,lf_employed,16335.0
08/2023,lf_employed,16354.9
09/2023,lf_employed,16375.1
10/2023,lf_employed,16403.2
11/2023,lf_employed,16431.1
12/2023,lf_employed,16457.7
01/2024,lf_employed,16483.0
02/2024,lf_employed,16507.9
03/2024,lf_employed,16532.2
04/2024,lf_employed,16555.7
05/2024,lf_employed,16579.9
06/2024,lf_employed,16605.7
07/2024,lf_employed,16632.0
01/2010,lf_unemployed,436.7
02/2010,lf_unemployed,427.4
03/2010,lf_unemployed,428.3
04/2010,lf_unemployed,378.5
05/2010,lf_unemployed,398.7
06/2010,lf_unemployed,449.6
07/2010,lf_unemployed,416.7
08/2010,lf_unemployed,384.3
09/2010,lf_unemployed,377.8
10/2010,lf_unemployed,346.8
11/2010,lf_unemployed,403.4
12/2010,lf_unemployed,404.1
01/2011,lf_unemployed,428.2
02/2011,lf_unemployed,373.6
03/2011,lf_unemployed,370.4
04/2011,lf_unemployed,384.6
05/2011,lf_unemployed,396.3
06/2011,lf_unemployed,410.1
07/2011,lf_unemployed,385.9
08/2011,lf_unemployed,401.2
09/2011,lf_unemployed,419.0
10/2011,lf_unemployed,388.1
11/2011,lf_unemployed,398.7
12/2011,lf_unemployed,404.9
01/2012,lf_unemployed,410.4
02/2012,lf_unemployed,408.9
03/2012,lf_unemployed,401.6
04/2012,lf_unemployed,394.8
05/2012,lf_unemployed,384.4
06/2012,lf_unemployed,421.0
07/2012,lf_unemployed,418.4
08/2012,lf_unemployed,350.2
09/2012,lf_unemployed,424.0
10/2012,lf_unemployed,432.6
11/2012,lf_unemployed,384.6
12/2012,lf_unemployed,424.3
01/2013,lf_unemployed,459.8
02/2013,lf_unemployed,402.9
03/2013,lf_unemployed,442.6
04/2013,lf_unemployed,412.8
05/2013,lf_unemployed,446.4
06/2013,lf_unemployed,400.2
07/2013,lf_unemployed,431.6
08/2013,lf_unemployed,442.4
09/2013,lf_unemployed,449.9
10/2013,lf_unemployed,470.1
11/2013,lf_unemployed,490.5
12/2013,lf_unemployed,440.3
01/2014,lf_unemployed,468.5
02/2014,lf_unemployed,462.0
03/2014,lf_unemployed,430.1
04/2014,lf_unemployed,413.5
05/2014,lf_unemployed,407.2
06/2014,lf_unemployed,406.4
07/2014,lf_unemployed,397.6
08/2014,lf_unemployed,384.9
09/2014,lf_unemployed,381.8
10/2014,lf_unemployed,379.9
11/2014,lf_unemployed,378.7
12/2014,lf_unemployed,451.7
01/2015,lf_unemployed,450.3
02/2015,lf_unemployed,461.8
03/2015,lf_unemployed,440.7
04/2015,lf_unemployed,433.3
05/2015,lf_unemployed,448.3
06/2015,lf_unemployed,463.2
07/2015,lf_unemployed,472.9
08/2015,lf_unemployed,470.5
09/2015,lf_unemployed,490.3
10/2015,lf_unemployed,481.3
11/2015,lf_unemployed,471.5
12/2015,lf_unemployed,504.3
01/2016,lf_unemployed,501.5
02/2016,lf_unemployed,506.4
03/2016,lf_unemployed,509.5
04/2016,lf_unemployed,511.5
05/2016,lf_unemployed,504.8
06/2016,lf_unemployed,501.8
07/2016,lf_unemployed,516.2
08/2016,lf_unemployed,515.2
09/2016,lf_unemployed,512.6
10/2016,lf_unemployed,511.7
11/2016,lf_unemployed,510.7
12/2016,lf_unemployed,512.2
01/2017,lf_unemployed,514.1
02/2017,lf_unemployed,514.8
03/2017,lf_unemployed,510.8
04/2017,lf_unemployed,511.9
05/2017,lf_unemployed,507.5
06/2017,lf_unemployed,507.7
07/2017,lf_unemployed,519.0
08/2017,lf_unemployed,516.9
09/2017,lf_unemployed,514.5
10/2017,lf_unemployed,508.8
11/2017,lf_unemployed,505.1
12/2017,lf_unemployed,505.8
01/2018,lf_unemployed,516.5
02/2018,lf_unemployed,508.5
03/2018,lf_unemployed,508.7
04/2018,lf_unemployed,510.0
05/2018,lf_unemployed,504.8
06/2018,lf_unemployed,515.8
07/2018,lf_unemployed,518.6
08/2018,lf_unemployed,525.0
09/2018,lf_unemployed,516.4
10/2018,lf_unemployed,512.9
11/2018,lf_unemployed,516.2
12/2018,lf_unemployed,514.2
01/2019,lf_unemployed,515.6
02/2019,lf_unemployed,516.4
03/2019,lf_unemployed,521.3
04/2019,lf_unemployed,523.3
05/2019,lf_unemployed,519.8
06/2019,lf_unemployed,521.4
07/2019,lf_unemployed,524.8
08/2019,lf_unemployed,520.2
09/2019,lf_unemployed,521.4
10/2019,lf_unemployed,512.1
11/2019,lf_unemployed,513.9
12/2019,lf_unemployed,517.0
01/2020,lf_unemployed,511.7
02/2020,lf_unemployed,525.2
03/2020,lf_unemployed,610.5
04/2020,lf_unemployed,778.8
05/2020,lf_unemployed,826.1
06/2020,lf_unemployed,773.2
07/2020,lf_unemployed,745.1
08/2020,lf_unemployed,741.6
09/2020,lf_unemployed,737.5
10/2020,lf_unemployed,748.2
11/2020,lf_unemployed,764.4
12/2020,lf_unemployed,772.9
01/2021,lf_unemployed,782.5
02/2021,lf_unemployed,777.5
03/2021,lf_unemployed,753.2
04/2021,lf_unemployed,742.7
05/2021,lf_unemployed,728.1
06/2021,lf_unemployed,768.7
07/2021,lf_unemployed,778.2
08/2021,lf_unemployed,748.8
09/2021,lf_unemployed,729.6
10/2021,lf_unemployed,705.0
11/2021,lf_unemployed,694.4
12/2021,lf_unemployed,687.6
01/2022,lf_unemployed,680.4
02/2022,lf_unemployed,671.8
03/2022,lf_unemployed,669.2
04/2022,lf_unemployed,649.3
05/2022,lf_unemployed,637.7
06/2022,lf_unemployed,630.6
07/2022,lf_unemployed,620.7
08/2022,lf_unemployed,612.0
09/2022,lf_unemployed,605.0
10/2022,lf_unemployed,602.0
11/2022,lf_unemployed,600.9
12/2022,lf_unemployed,599.6
01/2023,lf_unemployed,596.1
02/2023,lf_unemployed,591.9
03/2023,lf_unemployed,588.7
04/2023,lf_unemployed,586.9
05/2023,lf_unemployed,584.6
06/2023,lf_unemployed,581.7
07/2023,lf_unemployed,579.2
08/2023,lf_unemployed,577.3
09/2023,lf_unemployed,573.7
10/2023,lf_unemployed,570.9
11/2023,lf_unemployed,569.2
12/2023,lf_unemployed,567.8
01/2024,lf_unemployed,567.3
02/2024,lf_unemployed,567.0
03/2024,lf_unemployed,566.6
04/2024,lf_unemployed,566.4
05/2024,lf_unemployed,566.1
06/2024,lf_unemployed,565.3
07/2024,lf_unemployed,563.7
01/2010,lf_outside,6927.5
02/2010,lf_outside,7225.1
03/2010,lf_outside,6993.0
04/2010,lf_outside,6894.5
05/2010,lf_outside,7186.0
06/2010,lf_outside,7065.0
07/2010,lf_outside,6900.5
08/2010,lf_outside,7157.9
09/2010,lf_outside,7194.4
10/2010,lf_outside,6846.7
11/2010,lf_outside,7298.3
12/2010,lf_outside,6722.3
01/2011,lf_outside,6881.6
02/2011,lf_outside,7110.3
03/2011,lf_outside,6940.1
04/2011,lf_outside,6930.6
05/2011,lf_outside,7133.2
06/2011,lf_outside,7073.7
07/2011,lf_outside,6920.5
08/2011,lf_outside,7038.6
09/2011,lf_outside,7032.2
10/2011,lf_outside,7045.7
11/2011,lf_outside,7245.7
12/2011,lf_outside,6997.3
01/2012,lf_outside,6878.5
02/2012,lf_outside,7042.3
03/2012,lf_outside,6897.3
04/2012,lf_outside,6851.3
05/2012,lf_outside,6952.9
06/2012,lf_outside,7013.7
07/2012,lf_outside,6777.3
08/2012,lf_outside,7039.9
09/2012,lf_outside,6993.2
10/2012,lf_outside,7056.2
11/2012,lf_outside,7094.6
12/2012,lf_outside,7060.6
01/2013,lf_outside,7035.5
02/2013,lf_outside,7119.8
03/2013,lf_outside,7116.7
04/2013,lf_outside,6922.7
05/2013,lf_outside,7005.6
06/2013,lf_outside,6668.6
07/2013,lf_outside,6655.9
08/2013,lf_outside,6689.8
09/2013,lf_outside,6557.3
10/2013,lf_outside,6746.3
11/2013,lf_outside,6716.2
12/2013,lf_outside,6724.2
01/2014,lf_outside,6734.7
02/2014,lf_outside,6808.7
03/2014,lf_outside,6956.1
04/2014,lf_outside,6849.4
05/2014,lf_outside,6693.2
06/2014,lf_outside,6826.6
07/2014,lf_outside,6846.2
08/2014,lf_outside,6934.1
09/2014,lf_outside,6763.7
10/2014,lf_outside,6926.7
11/2014,lf_outside,6887.1
12/2014,lf_outside,6784.8
01/2015,lf_outside,6923.7
02/2015,lf_outside,6847.8
03/2015,lf_outside,6839.3
04/2015,lf_outside,6890.2
05/2015,lf_outside,6933.5
06/2015,lf_outside,6896.2
07/2015,lf_outside,6937.7
08/2015,lf_outside,6871.5
09/2015,lf_outside,6925.4
10/2015,lf_outside,6894.8
11/2015,lf_outside,6945.0
12/2015,lf_outside,6945.3
01/2016,lf_outside,6984.2
02/2016,lf_outside,7063.1
03/2016,lf_outside,6964.0
04/2016,lf_outside,7012.5
05/2016,lf_outside,7021.1
06/2016,lf_outside,7036.5
07/2016,lf_outside,7008.4
08/2016,lf_outside,7053.3
09/2016,lf_outside,7084.3
10/2016,lf_outside,7071.1
11/2016,lf_outside,7081.8
12/2016,lf_outside,7072.8
01/2017,lf_outside,7090.4
02/2017,lf_outside,7086.9
03/2017,lf_outside,7121.8
04/2017,lf_outside,7122.5
05/2017,lf_outside,7120.8
06/2017,lf_outside,7141.1
07/2017,lf_outside,7150.4
08/2017,lf_outside,7138.4
09/2017,lf_outside,7122.1
10/2017,lf_outside,7117.7
11/2017,lf_outside,7121.4
12/2017,lf_outside,7084.1
01/2018,lf_outside,7074.8
02/2018,lf_outside,7112.3
03/2018,lf_outside,7115.0
04/2018,lf_outside,7130.9
05/2018,lf_outside,7097.1
06/2018,lf_outside,7062.2
07/2018,lf_outside,7044.5
08/2018,lf_outside,7133.9
09/2018,lf_outside,7096.8
10/2018,lf_outside,7093.7
11/2018,lf_outside,7151.2
12/2018,lf_outside,7120.1
01/2019,lf_outside,7095.9
02/2019,lf_outside,7145.9
03/2019,lf_outside,7169.4
04/2019,lf_outside,7184.4
05/2019,lf_outside,7190.0
06/2019,lf_outside,7156.7
07/2019,lf_outside,7207.7
08/2019,lf_outside,7172.4
09/2019,lf_outside,7159.8
10/2019,lf_outside,7175.0
11/2019,lf_outside,7174.2
12/2019,lf_outside,7129.8
01/2020,lf_outside,7128.9
02/2020,lf_outside,7224.0
03/2020,lf_outside,7239.8
04/2020,lf_outside,7345.1
05/2020,lf_outside,7392.1
06/2020,lf_outside,7398.5
07/2020,lf_outside,7399.8
08/2020,lf_outside,7351.5
09/2020,lf_outside,7359.8
10/2020,lf_outside,7347.7
11/2020,lf_outside,7374.8
12/2020,lf_outside,7372.2
01/2021,lf_outside,7366.2
02/2021,lf_outside,7371.4
03/2021,lf_outside,7363.7
04/2021,lf_outside,7376.8
05/2021,lf_outside,7398.0
06/2021,lf_outside,7456.8
07/2021,lf_outside,7475.4
08/2021,lf_outside,7448.5
09/2021,lf_outside,7405.9
10/2021,lf_outside,7364.5
11/2021,lf_outside,7344.4
12/2021,lf_outside,7337.8
01/2022,lf_outside,7332.1
02/2022,lf_outside,7320.7
03/2022,lf_outside,7309.7
04/2022,lf_outside,7270.2
05/2022,lf_outside,7260.1
06/2022,lf_outside,7255.5
07/2022,lf_outside,7247.9
08/2022,lf_outside,7242.0
09/2022,lf_outside,7239.2
10/2022,lf_outside,7237.3
11/2022,lf_outside,7235.7
12/2022,lf_outside,7239.5
01/2023,lf_outside,7238.3
02/2023,lf_outside,7236.7
03/2023,lf_outside,7230.6
04/2023,lf_outside,7228.2
05/2023,lf_outside,7226.8
06/2023,lf_outside,7225.7
07/2023,lf_outside,7225.0
08/2023,lf_outside,7231.3
09/2023,lf_outside,7238.9
10/2023,lf_outside,7237.6
11/2023,lf_outside,7235.4
12/2023,lf_outside,7234.3
01/2024,lf_outside,7233.4
02/2024,lf_outside,7232.7
03/2024,lf_outside,7232.5
04/2024,lf_outside,7233.1
05/2024,lf_outside,7232.9
06/2024,lf_outside,7231.7
07/2024,lf_outside,7230.7
